"","healthy_store_market","borough","year","address","latitude","longitude","type"
"93","Jade Food Center","Bronx",2015,"3822 3 AVENUE",40.837875,-73.901412,"healhty store"
"94","Los Primos Grocery","Bronx",2015,"1965 Webster Avenue",40.849462,-73.899949,"healhty store"
"95","Los Primos Grocery","Bronx",2015,"1798 Crotona Avenue",40.842792,-73.893526,"healhty store"
"96","Mills Grocery","Bronx",2015,"1570 Bathgate Avenue",40.838762,-73.901563,"healhty store"
"97","Naranjal Grocery","Bronx",2015,"200 East Tremont Avenue",40.84911,-73.905415,"healhty store"
"98","Omale New York Grocery","Bronx",2015,"2172 Crotona Avenue",40.850259,-73.88648,"healhty store"
"99","Vasquez Deli Grocery","Bronx",2015,"1959 Clinton Avenue",40.845028,-73.890002,"healhty store"
"100","Webster Food Corp","Bronx",2015,"2031 Webster Avenue",40.85091,-73.899032,"healhty store"
"101","Almontaser Enterprises LLC","Brooklyn",2016,"2792 Fulton Street",40.678053,-73.891478,"healhty store"
"102","Habibi Gourmet Deli","Brooklyn",2016,"2761 Fulton Street",40.677879,-73.892772,"healhty store"
"103","J & K Grocery","Brooklyn",2016,"2737 Fulton Street",40.677742,-73.893678,"healhty store"
"104","La Vega Grocery","Brooklyn",2016,"2772 Fulton Street",40.677936,-73.892268,"healhty store"
"105","Marien Groceries Corp.","Brooklyn",2016,"99 Jamaica Avenue",40.678656,-73.896416,"healhty store"
"106","One Apple Grocery Store","Brooklyn",2016,"609 Wilson Avenue",40.69016,-73.907173,"healhty store"
"107","Plaza Meat Market","Brooklyn",2016,"100 Cooper Street",40.68619,-73.908898,"healhty store"
"108","Shorty Meat Farm","Brooklyn",2016,"2949 Fulton Street",40.679552,-73.885909,"healhty store"
"109","Sunny Supermarket","Brooklyn",2016,"200 Jamaica Avenue",40.68039,-73.892682,"healhty store"
"110","VLT Mini Market Inc.","Brooklyn",2016,"2837 Fulton Street",40.678348,-73.889747,"healhty store"
"111","Comidas Dominicanas Capellan Deli","Manhattan",2015,"1626 Park Avenue",40.798917,-73.943533,"healhty store"
"112","Deli Superette","Manhattan",2015,"1858 Lexington Avenue",40.798118,-73.942006,"healhty store"
"113","Puchito Grocery","Manhattan",2015,"2122 2nd Avenue",40.792642,-73.940956,"healhty store"
"114","Annabelle Deli","Manhattan",2015,"2121 2nd Avenue",40.792729,-73.940913,"healhty store"
"115","Juice Bar Deli","Manhattan",2015,"308 East 116th Street",40.796768,-73.937236,"healhty store"
"116","Mini Market Corps","Manhattan",2015,"1690 Lexington Avenue",40.79235,-73.946215,"healhty store"
"117","Madison Deli and Grocery","Manhattan",2015,"1550 Madison Avenue",40.792753,-73.950144,"healhty store"
"118","El Tepeyac Grocery","Manhattan",2015,"1621 Lexington Avenue",40.789922,-73.947961,"healhty store"
"119","Mi Mexico Mini Market","Manhattan",2015,"172 East 104th Street",40.790605,-73.946469,"healhty store"
"120","East Side Gourmet Deli","Manhattan",2015,"1863 3rd Avenue",40.789515,-73.946163,"healhty store"
"121","2015 Food Deli","Manhattan",2015,"2015 1st Avenue",40.788176,-73.941133,"healhty store"
"122","JJ Food  Market","Manhattan",2015,"153 East 99th Street",40.78771,-73.949288,"healhty store"
"123","Deli Mini Mart","Manhattan",2015,"339 East 115th Street",40.79565,-73.936703,"healhty store"
"124","Cherry Deli Gourmet","Manhattan",2015,"1575 Lexington Avenue",40.78874,-73.948825,"healhty store"
"125","Cherry Valley Market","Manhattan",2015,"309 East 115th Street",40.796167,-73.937941,"healhty store"
"126","Super Fi Emporium","Manhattan",2015,"1635 Lexington Avenue",40.790501,-73.947538,"healhty store"
"127","NYC Fresh Market","Manhattan",2015,"1656 Madison Avenue",40.796358,-73.947512,"healhty store"
"128","Fine Fare","Manhattan",2015,"1718 Madison Avenue",40.798265,-73.94612,"healhty store"
"129","City Fresh Market","Manhattan",2015,"235 East 106th Street",40.791026,-73.943359,"healhty store"
"130","1408 Deli & Grocery Corp.","Bronx",2016,"1408 Fulton Avenue",40.834741,-73.901771,"healhty store"
"131","2009 Melissa Deli Corp.","Bronx",2016,"621 East 170th Street",40.834199,-73.900167,"healhty store"
"132","99 Cent Deli Square","Bronx",2016,"3754 3rd AVE",40.836328,-73.902603,"healhty store"
"133","Associated Supermarket","Bronx",2016,"724 East 161st Street",40.821432,-73.905183,"healhty store"
"134","Baraka African Market","Bronx",2016,"1345 Webster Avenue",40.835103,-73.908051,"healhty store"
"135","College Ave.  Deli and Market Inc.","Bronx",2016,"288 East 168th Street",40.833333,-73.912802,"healhty store"
"136","First Food Market","Bronx",2016,"3706 3rd Avenue",40.835694,-73.903052,"healhty store"
"137","Food Bazaar","Bronx",2016,"535 East 170th Street",40.834931,-73.903144,"healhty store"
"138","La Hermadad Supermarket Inc.","Bronx",2016,"193 McClellan Street",40.832698,-73.917847,"healhty store"
"139","M&G Food Corp.","Bronx",2016,"391 East 167th Street",40.830862,-73.910897,"healhty store"
